ID,TITLE_CLEAN,COMPANY_NAME,COMPANY_IS_STAFFING,occupation_group,role_family,posted_date,state,LOCATION,REMOTE_TYPE_NAME,MAX_EDULEVELS_NAME,MIN_EDULEVELS_NAME,min_years_experience,max_years_experience,salary_from_annual,salary_to_annual,salary_midpoint,ORIGINAL_PAY_PERIOD,SKILLS_NAME,SPECIALIZED_SKILLS_NAME,NAICS_2022_4,NAICS_2022_6_NAME
314,"Data Engineer, AWS GDSP A&I",Amazon,0,Database Architects,Data Engineer,2026-03-25,Washington,"Seattle, Washington",Unknown,Associate's degree,Associate's degree,,1.0,,,,"","[""Reporting and Analysis"", ""Strategic Thinking"", ""Pricing Analytics"", ""Data Engineering"", ""Business Acumen"", ""Product Analytics"", ""Business Problems"", ""Data Science"", ""Reporting Processes"", ""Technical Analysis""]","[""Reporting and Analysis"", ""Pricing Analytics"", ""Data Engineering"", ""Product Analytics"", ""Business Problems"", ""Data Science"", ""Reporting Processes"", ""Technical Analysis""]",5415,
333,"Principal Data Engineer, Intelligent Talent Acquisition",Amazon,0,Database Architects,Data Engineer,2026-03-26,Washington,"Seattle, Washington",Unknown,Associate's degree,Associate's degree,,1.0,,,,"","[""Machine Learning Algorithms"", ""Talent Acquisition"", ""Technical Strategy"", ""Technical Design"", ""Data Strategy"", ""Data Infrastructure"", ""Interoperability""]","[""Machine Learning Algorithms"", ""Talent Acquisition"", ""Technical Strategy"", ""Technical Design"", ""Data Strategy"", ""Data Infrastructure"", ""Interoperability""]",5415,
728,"Data Engineer, Central InfraOps Analytics Team",Amazon,0,Database Architects,Data Engineer,2026-04-28,Virginia,"Herndon, Virginia",Unknown,Master's degree,Associate's degree,,1.0,,,,"","[""Logical Data Models"", ""Logistics Engineering"", ""Physical Design"", ""Data Quality"", ""Data Integrity"", ""Business Intelligence"", ""Data Storage"", ""Query Performance"", ""Data Engineering"", ""Dependency Management""]","[""Logical Data Models"", ""Logistics Engineering"", ""Physical Design"", ""Data Quality"", ""Data Integrity"", ""Business Intelligence"", ""Data Storage"", ""Query Performance"", ""Data Engineering"", ""Dependency Management""]",5415,
990,"Data Engineer, PXT Central Science",Amazon,0,Data Scientists,Data Engineer,2026-05-09,Washington,"Seattle, Washington",Unknown,Bachelor's degree,Bachelor's degree,,1.0,,,,"","[""Software Engineering"", ""Data Architecture"", ""Data Engineering"", ""Data Pipelines"", ""Data Integration"", ""Feature Extraction"", ""Data Quality"", ""Data Science"", ""Technical Design"", ""Design Reviews""]","[""Software Engineering"", ""Data Architecture"", ""Data Engineering"", ""Data Pipelines"", ""Data Integration"", ""Feature Extraction"", ""Data Quality"", ""Data Science"", ""Technical Design"", ""Design Reviews""]",5415,
1246,Data Scientist,Prove,0,Data Scientists,Data Scientist,2026-05-15,Unspecified,United States,Remote,Doctoral or professional degree,Associate's degree,5.0,,125000.0,170000.0,147500.0,annual,"[""Python (Programming Language)"", ""TensorFlow"", ""SQL (Programming Language)"", ""Java (Programming Language)"", ""Statistical Analysis"", ""Machine Learning"", ""Business Problems"", ""Data Science"", ""Computer Science"", ""Statistical Methods""]","[""Python (Programming Language)"", ""TensorFlow"", ""SQL (Programming Language)"", ""Java (Programming Language)"", ""Statistical Analysis"", ""Machine Learning"", ""Business Problems"", ""Data Science"", ""Computer Science"", ""Statistical Methods""]",5415,
1259,Data Engineer,V4c.ai,0,Database Architects,Data Engineer,2026-05-15,Unspecified,United States,Remote,Bachelor's degree,Associate's degree,,,75000.0,,75000.0,annual,"[""Databricks"", ""Python (Programming Language)"", ""SQL (Programming Language)"", ""Data Pipelines"", ""Data Engineering"", ""Cloud Technologies"", ""Computer Science"", ""Data Science"", ""Information Systems"", ""Data Processing""]","[""Databricks"", ""Python (Programming Language)"", ""SQL (Programming Language)"", ""Data Pipelines"", ""Data Engineering"", ""Cloud Technologies"", ""Computer Science"", ""Data Science"", ""Information Systems"", ""Data Processing""]",5415,
1264,Data Analytics & Engineering - Data Engineer III - DAEDESS #003,NavitasPartners,0,Database Architects,Data Engineer,2026-05-15,Unspecified,United States,Remote,Bachelor's degree,Associate's degree,,1.0,,,,"","[""Microsoft SharePoint"", ""Data Engineering"", ""Business Operations"", ""Data Management"", ""Management Systems"", ""Data Pipelines"", ""Business Requirements"", ""Process Improvement"", ""Operational Efficiency"", ""Computer Science""]","[""Microsoft SharePoint"", ""Data Engineering"", ""Business Operations"", ""Data Management"", ""Management Systems"", ""Data Pipelines"", ""Business Requirements"", ""Process Improvement"", ""Operational Efficiency"", ""Computer Science""]",5415,
1378,Data Engineer,ClimateAi,0,Database Architects,Data Engineer,2026-05-17,California,"San Francisco, California, United States",Remote,Bachelor's degree,Associate's degree,,,115000.0,145000.0,130000.0,annual,"[""Python (Programming Language)"", ""SQL (Programming Language)"", ""Data Science"", ""Computer Engineering"", ""Computer Science"", ""Data Pipelines"", ""Planning"", ""Writing""]","[""Python (Programming Language)"", ""SQL (Programming Language)"", ""Data Science"", ""Computer Engineering"", ""Computer Science"", ""Data Pipelines""]",5415,
1384,Senior Data Scientist,Roblox,0,Data Scientists,Data Scientist,2026-05-17,California,"San Mateo, CA, United States",Unknown,Doctoral or professional degree,Associate's degree,,,263700.0,322800.0,293250.0,annual,"[""Python (Programming Language)"", ""Time Series Modeling"", ""Data Engineering"", ""Causal Inference"", ""Statistical Modeling"", ""Machine Learning"", ""Data Science"", ""Business Problems"", ""Industry Standards"", ""Anomaly Detection""]","[""Python (Programming Language)"", ""Time Series Modeling"", ""Data Engineering"", ""Causal Inference"", ""Statistical Modeling"", ""Machine Learning"", ""Data Science"", ""Business Problems"", ""Industry Standards"", ""Anomaly Detection""]",5415,
1403,"Sr. Data Scientist, GenAI & Labeling Platforms",Pinterest,0,Data Scientists,Data Scientist,2026-05-18,California,"San Francisco, CA, US; Remote, US",Remote,Doctoral or professional degree,Associate's degree,,1.0,139800.0,287700.0,213750.0,annual,"[""Scientific Methods"", ""Data Science"", ""Cross-Functional Collaboration"", ""Self-Directed Learning"", ""Innovation"", ""Human-In-The-Loop"", ""Rubric"", ""Writing"", ""Pinterest""]","[""Scientific Methods"", ""Data Science"", ""Cross-Functional Collaboration"", ""Self-Directed Learning"", ""Human-In-The-Loop"", ""Rubric"", ""Pinterest""]",5415,
